Domain,Questionnaire Number,Section Title,Variable name,Short Description,Values,Length,Precision,Scale,Long Description,Pre-selected variable?,Original CTS Variable Name (for questionnaire variables),,,
Questionnaire,Q1,Reproductive History,progalone_end,Age end p alone final var,"0-9, 0=No HT, 1=Not this, 2=Cur, 3=<45, 4=45-49, 5=50-54, 6=55-59, 7=60-64, 8=65-69, 9=70+, .A=Pre, .B=UnkE,P, .C=ToRev, .D=U_This, .U=UnRecov",,,,41-56. Age end p alone final var. From the first CTS questionnaire (1995-1996).,,PALNEND,,,
Questionnaire,Q1,Reproductive History,eplusp_end,Age end e+p overlap final var,"0-9, 0=No HT, 1=Not this, 2=Cur, 3=<45, 4=45-49, 5=50-54, 6=55-59, 7=60-64, 8=65-69, 9=70+, .A=Pre, .B=UnkE,P, .C=ToRev, .D=U_This, .U=UnRecov",,,,41-56. Age end e+p overlap final var. From the first CTS questionnaire (1995-1996).,,EPOVREND,,,
Questionnaire,Q1,Reproductive History,premarn_age1st,Age first took premarin,"A=<45, B=45-49, C=50-54, D=55-59, E=60-64, F=65-69, G=70+",,,,43. At what age did you first take Premarin? From the first CTS questionnaire (1995-1996).,,ESTPREMF,,,
Questionnaire,Q1,Reproductive History,premarn_agelast,Age last took premarin,"A=Currently B=<45, C=45-49, D=50-54, E=55-59, F=60-64, G=65-69, H=70+",,,,44. At what age did you last take Premarin? From the first CTS questionnaire (1995-1996).,,ESTPREML,,,
Questionnaire,Q1,Reproductive History,premarn_totyrs,Total years taking prem,"0-56, .Z=Problem",,,,45. Total years taking Premarin. From the first CTS questionnaire (1995-1996). Derived.,,ESTPREMX,,,
Questionnaire,Q1,Reproductive History,premarn_grn_q1,Use of premarin - green,N/Y,,,,46. Have you ever used Premarin - Green? From the first CTS questionnaire (1995-1996).,,PRMEVERG,,,
Questionnaire,Q1,Reproductive History,premarn_brwn_q1,Use of premarin - brown/red,N/Y,,,,46. Have you ever used Premarin - Brown/Red? From the first CTS questionnaire (1995-1996).,,PRMEVERB,,,
Questionnaire,Q1,Reproductive History,premarn_wht_q1,Use of premarin - white,N/Y,,,,46. Have you ever used Premarin - White? From the first CTS questionnaire (1995-1996).,,PRMEVERW,,,
Questionnaire,Q1,Reproductive History,premarn_yelorn_q1,Use of premarin - yellow/orange,N/Y,,,,46. Have you ever used Premarin - Yellow/Orange? From the first CTS questionnaire (1995-1996).,,PRMEVERY,,,
Questionnaire,Q1,Reproductive History,premarn_prpl_q1,Use of premarin - purple,N/Y,,,,46. Have you ever used Premarin - Purple? From the first CTS questionnaire (1995-1996).,,PRMEVERP,,,
Questionnaire,Q1,Reproductive History,premarn_longest,Longest use of premarin - type,"A=Green, B=Brown/Red, C=White, D=Yellow/Orange, E=Purple, F=Ans A&B, G=Ans B&C, H=Ans C&D, I=Ans D&E, J=Ans A&D, K=Ans C&E, L=Ans B&D",,,,46. Longest use of Premarin - Which type? From the first CTS questionnaire (1995-1996).,,PRMLONG,,,
Questionnaire,Q1,Reproductive History,estro_mouth,Estrogen by mouth,N/Y/Z,,,,47. Ever taken estrogen by mouth? From the first CTS questionnaire (1995-1996).,,ESTMOUTH,,,
Questionnaire,Q1,Reproductive History,estro_inject,Estrogen by injection,N/Y/Z,,,,47. Ever taken estrogen by injection? From the first CTS questionnaire (1995-1996).,,ESTINJCT,,,
Questionnaire,Q1,Reproductive History,estro_patch_impl,Estrogen by patch/implant,N/Y/Z,,,,47. Ever taken estrogen by patch/implant? From the first CTS questionnaire (1995-1996).,,ESTPATCH,,,
Questionnaire,Q1,Reproductive History,estro_vag,Estrogen by vaginal cream/supp,N/Y/Z,,,,47. Ever taken estrogen by vaginal cream/supp? From the first CTS questionnaire (1995-1996).,,ESTVAGCM,,,
Questionnaire,Q1,Reproductive History,prog_ever,Use of progesterone/progestin,"A=No, B=Provera only, C=Another type only, D=Provera & oth type, E=Yes, DK type, Z=Problem",,,,51. Ever used progesterone or progestin? From the first CTS questionnaire (1995-1996).,,PROGUSE,,,
Questionnaire,Q1,Reproductive History,meno_ht_statcomb,Combination of menopausal status and past or current ht,"0-5, 0=Pre, 1=PP, No HT, 2=PP, Past HT, 3=PP, Cur E,4=PP, Cur E+P, 5=All oth",,,,51-56. Combination of menopausal status and past or current HT. From the first CTS questionnaire (1995-1996).,,MENHT,,,
Questionnaire,Q1,Reproductive History,prog_age1st,Age first use of progesterone,"A=<40, B=40-44, C=45-49, D=50-54, E=55-59, F=60-64, G=65-69, H=70+",,,,52. What age did you first use progesterone? From the first CTS questionnaire (1995-1996).,,PROGAGEF,,,
Questionnaire,Q1,Reproductive History,prog_agelast,Age last use of progesterone,"A=Currently B=<45, C=45-49, D=50-54, E=55-59, F=60-64, G=65-69, H=70+",,,,53. What age did you last use progesterone? From the first CTS questionnaire (1995-1996).,,PROGAGEL,,,
Questionnaire,Q1,Reproductive History,prog_totyrs,Total years taking progesterone,"A=<1, B=1-2, C=3-5, D=6-9, E=10-14, F=15-19, G=20+",,,,54. How many years did you take progesterone? From the first CTS questionnaire (1995-1996).,,PROGTYRS,,,
Questionnaire,Q1,Reproductive History,prog_days_mo_q1,Days/month using progestin,"0-39, 93=40 days total, 94=<=10 days total, 95=1 shot, every 3 mo., 96=For pregnancy for unknown #days/mo., 97=14 days, every 3 mo.",,,,56. Days / month using progestin. From the first CTS questionnaire (1995-1996). Derived.,,PROGDYX,,,
Questionnaire,Q1,Reproductive History,provera_dose_q1,Usual dose of provera,"0=No provera use, 1=2.5mg, 2= 5mg, 3=10 mg, 4=20 mg, 5=Other, 6=Don't know, 7=Multiple doses selected, 8=Used another type of progestin, 99=Missing",,,,"51, 55. Usual dose of provera. From the first CTS questionnaire (1995-1996). Derived.",,Provera_Dose,,,
Questionnaire,Q1,Health History,brca,Breast cancer,N/Y,,,,57. Have you ever had breast cancer? From the first CTS questionnaire (1995-1996).,,BRCA,,,
Questionnaire,Q1,Health History,brca_age1st,Age 1st dx breast ca.,"13-95, .Z=Problem",,,,58. Age first dx breast cancer. From the first CTS questionnaire (1995-1996). Derived.,,BRCADGX,,,
Questionnaire,Q1,Health History,brimplant,Breast implants,"A=No, B=Yes, after breast ca, C=Yes, other reasons, D=Ans both B & C, F/Z=Problem",,,,59. Have you ever had breast implants? From the first CTS questionnaire (1995-1996).,,BRIMPLNT,,,
Questionnaire,Q1,Health History,brimplant_age1st,Age first had breast implants,"A=<25, B=25-29, C=30-34, D=35-39, E=40-44, F=45-49, G=50-54,  H=55-59,  I=60-64,  J=65+, Z=Problem",,,,60. What age did you first have breast implants? From the first CTS questionnaire (1995-1996).,,BRIMAGEF,,,
Questionnaire,Q1,Health History,brimplant_type,Kind of breast implants,"A=Silicone gel, B=Saline, C=Both, D=DK",,,,61. What kind of breast implants have you had? From the first CTS questionnaire (1995-1996).,,BRIMKIND,,,
Questionnaire,Q1,Health History,mammo_ever_q1,Mammogram,N/Y,,,,62. Have you ever had a mammogram? From the first CTS questionnaire (1995-1996).,,EXMMAMMO,,,
Questionnaire,Q1,Health History,brexam,Breast exam,N/Y/Z,,,,62. Have you ever had a breast exam? From the first CTS questionnaire (1995-1996).,,EXMBRXM,,,
Questionnaire,Q1,Health History,papsmr,Pap smear,N/Y/Z,,,,62. Have you ever had a PAP smear? From the first CTS questionnaire (1995-1996).,,EXMPAPSM,,,
Questionnaire,Q1,Health History,mammo_yrssnce_ques62,Years since last mammogram,"0-4, 0=Never had, 1=Y_<1yr, 2=Y_1-2yrs, 3=Y_3+yrs, 4=Y_Uyrs, .U=Unk",,,,62. Years since last mammogram from question 62. From the first CTS questionnaire (1995-1996).,,MAMSCRN,,,
Questionnaire,Q1,Health History,brexam_yrssnce_ques62,Years since last breast exam,"0-4, 0=Never had, 1=Y_<1yr, 2=Y_1-2yrs, 3=Y_3+yrs, 4=Y_Uyrs, .U=Unk",,,,62. Years since last breast exam from question 62. From the first CTS questionnaire (1995-1996).,,BRXMSCRN,,,
Questionnaire,Q1,Health History,papsmr_yrssnce_ques62,Years since last pap smear,"0-4, 0=Never had, 1=Y_<1yr, 2=Y_1-2yrs, 3=Y_3+yrs, 4=Y_Uyrs, .U=Unk",,,,62. Years since last pap smear from question 62. From the first CTS questionnaire (1995-1996).,,PAPSCRN,,,
Questionnaire,Q1,Health History,brexam_lastyr,# of breast exams in last yr,"A=Rarely, B=2-3 times, C=2-3 months, D=Once a month, E=More than once a month",,,,63. How often examined breasts in last year? From the first CTS questionnaire (1995-1996).,,BREXSELF,,,
Questionnaire,Q1,Health History,bldtrans_never,Blood transfusion - no,A=Yes,,,,64. Have you ever had a blood transfusion - No? From the first CTS questionnaire (1995-1996).,,BLDTRAN1,,,
Questionnaire,Q1,Health History,bldtrans_undr35,Blood transfusion - before age 35,A=Yes,,,,64. Have you ever had a blood transfusion - before 35? From the first CTS questionnaire (1995-1996).,,BLDTRAN2,,,
Questionnaire,Q1,Health History,bldtrans35_44,Blood transfusion - 35-44,A=Yes,,,,64. Have you ever had a blood transfusion - 35-44? From the first CTS questionnaire (1995-1996).,,BLDTRAN3,,,
Questionnaire,Q1,Health History,bldtrans45_54,Blood transfusion - 45-54,A=Yes,,,,64. Have you ever had a blood transfusion - 45-54? From the first CTS questionnaire (1995-1996).,,BLDTRAN4,,,
Questionnaire,Q1,Health History,bldtrans55_64,Blood transfusion - 55-64,A=Yes,,,,64. Have you ever had a blood transfusion - 55-64? From the first CTS questionnaire (1995-1996).,,BLDTRAN5,,,
Questionnaire,Q1,Health History,bldtrans_ovr64,Blood transfusion - after 64,A=Yes,,,,64. Have you ever had a blood transfusion -after 64? From the first CTS questionnaire (1995-1996).,,BLDTRAN6,,,
Questionnaire,Q1,Health History,height_q1,Height today,"45-81, .D=Cant fix, .Z=Problem",,,,65. Height today. From the first CTS questionnaire (1995-1996). Derived.,1,HEIGHTX,,,
Questionnaire,Q1,Health History,weight_q1,Weight today,"67-450, .D=Cant fix, .Z=Problem",,,,65. Weight today. From the first CTS questionnaire (1995-1996). Derived.,1,WEIGHTX,,,
Questionnaire,Q1,Health History,height_age18,Height age 18,"46-81, .D=Cant fix, .Z=Problem",,,,65. Height age 18. From the first CTS questionnaire (1995-1996). Derived.,,HTAT_18X,,,
Questionnaire,Q1,Health History,weight_age18,Weight age 18,"65-350, .D=Cant fix, .Z=Problem",,,,65. Weight age 18. From the first CTS questionnaire (1995-1996). Derived.,,WTAT_18X,,,
Questionnaire,Q1,Health History,bmi_q1,Body mass index (kg/m**2),16.0-75.0,,,,65. Body mass index (kg/m**2). From the first CTS questionnaire (1995-1996).,1,BMI,,,
Questionnaire,Q1,Health History,bmi_age18,Body mass index (kg/m**2) age 18,15.0-54.8,,,,65. Body mass index (kg/m**2) age 18. From the first CTS questionnaire (1995-1996).,,BMI18,,,
Questionnaire,Q1,Health History,aspr_totyrs,Total years taking aspirin,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+, H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking aspirin? From the first CTS questionnaire (1995-1996).,,MEDASPY,,,
Questionnaire,Q1,Health History,aspr_days_wk,Days/wk taking aspirin,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking aspirin? From the first CTS questionnaire (1995-1996).,,MEDASPD,,,
Questionnaire,Q1,Health History,acetm_totyrs,Total years taking acetaminophen,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+, H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking acetaminophen? From the first CTS questionnaire (1995-1996).,,MEDACEY,,,
Questionnaire,Q1,Health History,acetm_days_wk,Days/wk taking acetaminophen,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking acetaminophen? From the first CTS questionnaire (1995-1996).,,MEDACED,,,
Questionnaire,Q1,Health History,ibupf_totyrs,Total years taking ibuprofen,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+, H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking ibuprofen? From the first CTS questionnaire (1995-1996).,,MEDIBUY,,,
Questionnaire,Q1,Health History,ibupf_days_wk,Days/wk taking ibuprofen,"A=1-3, B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking ibuprofen? From the first CTS questionnaire (1995-1996).,,MEDIBUD,,,
Questionnaire,Q1,Health History,tagam_totyrs,Total years taking tagamet,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+,H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking tagamet? From the first CTS questionnaire (1995-1996).,,MEDTAGY,,,
Questionnaire,Q1,Health History,tagam_days_wk,Days/wk taking tagamet,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking tagamet? From the first CTS questionnaire (1995-1996).,,MEDTAGD,,,
Questionnaire,Q1,Health History,resprn_totyrs,Total years taking reserpine,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+, H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking reserpine? From the first CTS questionnaire (1995-1996).,,MEDRESY,,,
Questionnaire,Q1,Health History,resprn_days_wk,Days/wk taking reserpine,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking reserpine? From the first CTS questionnaire (1995-1996).,,MEDRESD,,,
Questionnaire,Q1,Health History,wtrpil_totyrs,Total years taking water pills/hi bp,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+, H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking water pills/HBP? From the first CTS questionnaire (1995-1996).,,MEDWTRY,,,
Questionnaire,Q1,Health History,wtrpil_days_wk,Days/wk taking water pills/hi bp,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking water pills/HBP? From the first CTS questionnaire (1995-1996).,,MEDWTRD,,,
Questionnaire,Q1,Health History,hbpmed_totyrs,Total years taking high blood press,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+,H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking high blood prs? From the first CTS questionnaire (1995-1996).,,MEDHBPY,,,
Questionnaire,Q1,Health History,hbpmed_days_wk,Days/wk taking high blood pressure,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking high blood prs? From the first CTS questionnaire (1995-1996).,,MEDHBPD,,,
Questionnaire,Q1,Health History,calcium_totyrs,Total years taking calcium,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+,H=Regular user but duration unknown, Z=Problem",,,,66. How many total years taking calcium? From the first CTS questionnaire (1995-1996).,,MEDCALY,,,
Questionnaire,Q1,Health History,calcium_days_wk,Days/wk taking calcium,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. How often on average taking calcium? From the first CTS questionnaire (1995-1996).,,MEDCALD,,,
Questionnaire,Q1,Health History,nsaid_totyrs,Total years taking any nsaid,"A=Not reg, B=<1, C=1, D=2, E=3-4, F=5-9, G=10+,H=Regular user but duration unknown, Z=Problem",,,,66. Total years taking any NSAID. From the first CTS questionnaire (1995-1996).,,MEDNSAY,,,
Questionnaire,Q1,Health History,nsaid_days,Days/wk taking any nsaid,"A=1-3 , B=4-6, C=Every day, D=Regular user but frequency of use unknown, X=Didn't take regularly, Z=Problem",,,,66. Days/wk taking any NSAID. From the first CTS questionnaire (1995-1996).,,MEDNSAD,,,
Questionnaire,Q1,Personal and Family Medical History,brca_self_ovr50_q1,You - breast cancer over 50,A=Yes,,,,67. Have you ever had breast cancer over age 50? From the first CTS questionnaire (1995-1996).,,BRCASELF,,,
Questionnaire,Q1,Personal and Family Medical History,brca_self_undr50_q1,You - breast cancer under 50,A=Yes,,,,67. Have you ever had breast cancer under 50? From the first CTS questionnaire (1995-1996).,,BRC5SELF,,,
Questionnaire,Q1,Personal and Family Medical History,endoca_self_q1,You - endometrial cancer,A=Yes,,,,67. Have you ever had endometrial cancer? From the first CTS questionnaire (1995-1996).,1,ENDOSELF,,,
Questionnaire,Q1,Personal and Family Medical History,cervca_self_q1,You - cervical cancer,A=Yes,,,,67. Have you ever had cervical cancer? From the first CTS questionnaire (1995-1996).,1,CERVSELF,,,
Questionnaire,Q1,Personal and Family Medical History,ovryca_self_q1,You - ovarian cancer,A=Yes,,,,67. Have you ever had ovarian cancer? From the first CTS questionnaire (1995-1996).,1,OVRYSELF,,,
Questionnaire,Q1,Personal and Family Medical History,lungca_self_q1,You - lung cancer,A=Yes,,,,67. Have you ever had lung cancer? From the first CTS questionnaire (1995-1996).,1,LUNGSELF,,,
Questionnaire,Q1,Personal and Family Medical History,leuk_self_q1,You - leukemia,A=Yes,,,,67. Have you ever had leukemia? From the first CTS questionnaire (1995-1996).,1,LEUKSELF,,,
Questionnaire,Q1,Personal and Family Medical History,hodg_self_q1,You - hodgkins dis,A=Yes,,,,67. Have you ever had - Hodgkins Dis? From the first CTS questionnaire (1995-1996).,1,HODGSELF,,,
Questionnaire,Q1,Personal and Family Medical History,colnca_self_q1,You - colon/rect cancer,A=Yes,,,,67. Have you ever had Colon/Rect cancer? From the first CTS questionnaire (1995-1996).,1,COLNSELF,,,
Questionnaire,Q1,Personal and Family Medical History,thyrca_self_q1,You - thyroid cancer,A=Yes,,,,67. Have you ever had Thyroid cancer? From the first CTS questionnaire (1995-1996).,1,THYRSELF,,,
Questionnaire,Q1,Personal and Family Medical History,meln_self_q1,You - malig melanoma,A=Yes,,,,67. Have you ever had Malig Melanoma? From the first CTS questionnaire (1995-1996).,1,MELNSELF,,,
Questionnaire,Q1,Personal and Family Medical History,nevrca_self_q1,You - never had cancer,A=Yes,,,,67. Never had any cancer - self? From the first CTS questionnaire (1995-1996).,,NEVCSELF,,,
Questionnaire,Q1,Personal and Family Medical History,nevrca_mom_q1,Mom - never had cancer,A=Yes,,,,67. Never had any cancer - mom? From the first CTS questionnaire (1995-1996).,,NEVCMOM,,,
Questionnaire,Q1,Personal and Family Medical History,nevrca_dad_q1,Dad - never had cancer,A=Yes,,,,67. Never had any cancer - dad? From the first CTS questionnaire (1995-1996).,,NEVCDAD,,,
Questionnaire,Q1,Personal and Family Medical History,gallstn_self,You - gall stones,A=Yes,,,,67. Have you ever had Gall Stones? From the first CTS questionnaire (1995-1996).,,GALLSELF,,,
Questionnaire,Q1,Personal and Family Medical History,diab_self_q1,You - diabetes,A=Yes,,,,67. Have you ever had Diabetes? From the first CTS questionnaire (1995-1996).,1,DIABSELF,,,
Questionnaire,Q1,Personal and Family Medical History,hipfrac_self,You - hip fracture,A=Yes,,,,67. Have you ever had Hip Fracture? From the first CTS questionnaire (1995-1996).,,HIPFSELF,,,
Questionnaire,Q1,Personal and Family Medical History,fibroid_self,You - fibroids/womb,A=Yes,,,,67. Have you ever had Fibroids/Womb? From the first CTS questionnaire (1995-1996).,,FIBRSELF,,,
Questionnaire,Q1,Personal and Family Medical History,endomtrs_self,You - endometriosis,A=Yes,,,,67. Have you ever had Endometriosis? From the first CTS questionnaire (1995-1996).,,ENMTSELF,,,
Questionnaire,Q1,Personal and Family Medical History,migrain_self,You - migraines,A=Yes,,,,67. Have you ever had Migraines? From the first CTS questionnaire (1995-1996).,,MIGRSELF,,,
Questionnaire,Q1,Personal and Family Medical History,brstbiop_self,You - breast biopsy,A=Yes,,,,67. Have you ever had Breast Biopsy? From the first CTS questionnaire (1995-1996).,,BRBXSELF,,,
Questionnaire,Q1,Personal and Family Medical History,colnpoly_self,You - colon/rect polyps,A=Yes,,,,67. Have you ever had Colon/Rect Polyps? From the first CTS questionnaire (1995-1996).,,POLYSELF,,,
Questionnaire,Q1,Personal and Family Medical History,thyrdis_self,You - thyroid dis,A=Yes,,,,67. Have you ever had Thyroid Dis? From the first CTS questionnaire (1995-1996).,,THDSSELF,,,
Questionnaire,Q1,Personal and Family Medical History,molesrmv_self,You - moles removed,A=Yes,,,,67. Have you ever had Moles Removed? From the first CTS questionnaire (1995-1996).,,MOLESELF,,,
Questionnaire,Q1,Personal and Family Medical History,stroke_self_q1,You - stroke,A=Yes,,,,67. Have you ever had Stroke? From the first CTS questionnaire (1995-1996).,,STRKSELF,,,
Questionnaire,Q1,Personal and Family Medical History,hrtatk_self_q1,You - heart attack,A=Yes,,,,67. Have you ever had Heart Attack? From the first CTS questionnaire (1995-1996).,,HTAKSELF,,,
Questionnaire,Q1,Personal and Family Medical History,hbp_self_q1,You - hi blood press,A=Yes,,,,67. Have you ever had Hi Blood Press? From the first CTS questionnaire (1995-1996).,1,HBPSELF,,,
Questionnaire,Q1,Personal and Family Medical History,brca_selfsurvey,Breast cancer self(survey data only),"Y=Yes, N=No, A=Relevant vas blank",,,,67. Breast cancer self(survey data only). From the first CTS questionnaire (1995-1996).,1,BRCANLX,,,
Questionnaire,Q1,Personal and Family Medical History,brca_famhis,Family history of breast cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of breast cancer. From the first CTS questionnaire (1995-1996).,,BRCAFAM,,,
Questionnaire,Q1,Personal and Family Medical History,endoca_famhis,Family history of endometrial cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of endometrial cancer. From the first CTS questionnaire (1995-1996).,,ENDOFAM,,,
Questionnaire,Q1,Personal and Family Medical History,ovryca_famhis,Family history of ovarian cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of ovarian cancer. From the first CTS questionnaire (1995-1996).,,OVRYFAM,,,
Questionnaire,Q1,Personal and Family Medical History,cervca_famhis,Family history of cervical cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of cervical cancer. From the first CTS questionnaire (1995-1996).,,CERVFAM,,,
Questionnaire,Q1,Personal and Family Medical History,lungca_famhis,Family history of lung cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of lung cancer. From the first CTS questionnaire (1995-1996).,,LUNGFAM,,,
Questionnaire,Q1,Personal and Family Medical History,leuk_famhis,Family history of leukemia,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of leukemia. From the first CTS questionnaire (1995-1996).,,LEUKFAM,,,
Questionnaire,Q1,Personal and Family Medical History,hodg_famhis,Family history of hodgkins or lymphoma,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of hodgkins or lymphoma. From the first CTS questionnaire (1995-1996).,,HODGFAM,,,
Questionnaire,Q1,Personal and Family Medical History,thyrca_famhis,Family history of thyroid cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of thyroid cancer. From the first CTS questionnaire (1995-1996).,,THYRFAM,,,
Questionnaire,Q1,Personal and Family Medical History,colnca_famhis,Family history of colorectal cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of colorectal cancer. From the first CTS questionnaire (1995-1996).,,COLNFAM,,,
Questionnaire,Q1,Personal and Family Medical History,meln_famhis,Family history of melanoma,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of melanoma. From the first CTS questionnaire (1995-1996).,,MELNFAM,,,
Questionnaire,Q1,Personal and Family Medical History,prosca_famhis,Family history of prostate cancer,"0-3, 0=No family hx of specific cancer, 1=Yes 1+ 1st degree relative, 2=Adopted, 3=No info on family hx",,,,67. Family history of prostate cancer. From the first CTS questionnaire (1995-1996).,,PROSFAM,,,
Questionnaire,Q1,Physical Activity,strnex_hs_hrs,Strenuous exercise dur hs hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Strenuous exercise dur hs hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,STHIGHY,,,
Questionnaire,Q1,Physical Activity,strnex18_24hrs,Strenuous exercise age 18-24 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Strenuous exercise age 18-24 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,ST1824Y,,,
Questionnaire,Q1,Physical Activity,strnex25_34hrs,Strenuous exercise age 25-34 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Strenuous exercise age 25-34 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,ST2534Y,,,
Questionnaire,Q1,Physical Activity,strnex35_44hrs,Strenuous exercise age 35-44 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Strenuous exercise age 35-44 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,ST3544Y,,,
Questionnaire,Q1,Physical Activity,strnex45_54hrs,Strenuous exercise age 45-54 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Strenuous exercise age 45-54 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,ST4554Y,,,
Questionnaire,Q1,Physical Activity,strnex_hrs_q1,Strenuous exercise past 3yrs hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Strenuous exercise past 3yrs hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,STPST3Y,,,
Questionnaire,Q1,Physical Activity,modex_hs_hrs,Moderate exercise dur hs hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Moderate exercise dur hs hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,MDHIGHY,,,
Questionnaire,Q1,Physical Activity,modex18_24hrs,Moderate exercise age 18-24 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Moderate exercise age 18-24 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,MD1824Y,,,
Questionnaire,Q1,Physical Activity,modex25_34hrs,Moderate exercise age 25-34 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Moderate exercise age 25-34 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,MD2534Y,,,
Questionnaire,Q1,Physical Activity,modex35_44hrs,Moderate exercise age 35-44 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Moderate exercise age 35-44 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,MD3544Y,,,
Questionnaire,Q1,Physical Activity,modex45_54hrs,Moderate exercise age 45-54 hrs/wk over yr lb,"0-12, .A=Facing pages blank, .B=Hrs/wk left blank, .Y=Lower limit not reached",,,,"68, 69. Moderate exercise age 45-54 hrs/wk over yr lb. From the first CTS questionnaire (1995-1996).",,MD4554Y,,,
