Variable,RType,SASType,SASLen,SASFormat,SASInformat,SASLabel
allex35_44hrs,numeric,Num,8,20.1,20.1,Strenuous + moderate exercise hrs/wk over year 35-44
allex45_54hrs,numeric,Num,8,20.1,20.1,Strenuous + moderate exercise hrs/wk over year 45-54
allex_hrs_q1,numeric,Num,8,20.1,20.1,Strenuous + moderate exercise hrs/wk over year past 3 yrs
allex_life_hrs,numeric,Num,8,20.1,20.1,Strenuous + moderate exercise hrs/wk over yr for lifetime
strnex_fix_q1,numeric,Num,8,11.,11.,Strenuous exercise past 3yrs amt from earlier age range
modex_fix_q1,numeric,Num,8,11.,11.,Moderate exercise past 3yrs amt from earlier age range
caswalk_hrs,character,Char,50,$50.00 ,$50.00 ,Hours/day - casual walking
caswalk_days,character,Char,50,$50.00 ,$50.00 ,Days/wk - casual walking
housewrk_hrs,character,Char,50,$50.00 ,$50.00 ,Hours/day - housework
housewrk_days,character,Char,50,$50.00 ,$50.00 ,Days/wk - housework
stand_hrs,character,Char,50,$50.00 ,$50.00 ,Hours/day - standing/walking at work
stand_days,character,Char,50,$50.00 ,$50.00 ,Days/wk - standing/walking at work
sit_hrs,character,Char,50,$50.00 ,$50.00 ,Hours/day - sitting
sit_days,character,Char,50,$50.00 ,$50.00 ,Days/wk - sitting
sleep_hrs,character,Char,50,$50.00 ,$50.00 ,Hours/day - sleeping
sleep_days,character,Char,50,$50.00 ,$50.00 ,Days/wk - sleeping
vit_reg_no,character,Char,50,$50.00 ,$50.00 ,Taken vitamins regularly - no
mulvit_days,character,Char,50,$50.00 ,$50.00 ,Multi-vitamins regularly - days/wk
mulvit_yrs_q1,character,Char,50,$50.00 ,$50.00 ,Multi-vitamins regularly - years
vita_days_q1,character,Char,50,$50.00 ,$50.00 ,Vitamin a regularly - days/wk
vita_yrs_q1,character,Char,50,$50.00 ,$50.00 ,Vitamin a regularly - years
bcar_days,character,Char,50,$50.00 ,$50.00 ,Beta-carotene regularly - days/wk
bcar_yrs,character,Char,50,$50.00 ,$50.00 ,Beta-carotene regularly - years
vitc_days_q1,character,Char,50,$50.00 ,$50.00 ,Vitamin c regularly - days/wk
vitc_yrs_q1,character,Char,50,$50.00 ,$50.00 ,Vitamin c regularly - years
vite_days_q1,character,Char,50,$50.00 ,$50.00 ,Vitamin e regularly - days/wk
vite_yrs_q1,character,Char,50,$50.00 ,$50.00 ,Vitamin e regularly - years
selen_days,character,Char,50,$50.00 ,$50.00 ,Selenium regularly - days/wk
selen_yrs,character,Char,50,$50.00 ,$50.00 ,Selenium regularly - years
daily_fiber,numeric,Num,8,20.1,20.1,Daily dietary fiber (grams)
daily_prot,numeric,Num,8,20.1,20.1,Daily dietary protein
daily_fat,numeric,Num,8,20.1,20.1,Daily dietary fat
daily_calcium,numeric,Num,8,20.1,20.1,Daily dietary calcium
daily_sfat,numeric,Num,8,20.1,20.1,Daily dietary saturated fat
daily_oleic,numeric,Num,8,20.1,20.1,Daily dietary oleic acid
daily_lino,numeric,Num,8,20.1,20.1,Daily dietary linoleic acid
daily_chol,numeric,Num,8,20.1,20.1,Daily cholesterol
daily_folate,numeric,Num,8,20.1,20.1,Daily dietary folate
perccal_fat,numeric,Num,8,20.1,20.1,% calories from fat
totdiet_caroten,numeric,Num,8,20.1,20.1,Dietary total carotenoids
totdaily_kcal,numeric,Num,8,20.1,20.1,Total daily caloric intake
totdaily_carb,numeric,Num,8,20.1,20.1,Total grams per day of carbohydrate intake
glyc_avgdaily,numeric,Num,8,20.1,20.1,"Average daily glycemic index (white bread as ref), glycloadwb/dt_carbs (without fiber)"
glyc_avgtot,numeric,Num,8,20.1,20.1,"Average total daily glycemic load (white bread as ref), sum: g/d * (carb-fiber)/100 * gi/100"
diet_plant,numeric,Num,8,20.1,20.1,Diet pattern:factor score for plant-based pattern
diet_highprotfat,numeric,Num,8,20.1,20.1,Diet pattern:factor score for high protein/fat pattern
diet_highcarb,numeric,Num,8,20.1,20.1,Diet pattern:factor score for high carb pattern
dief_ethnic,numeric,Num,8,20.1,20.1,Diet pattern:factor score for ethnic pattern
diet_saladwine,numeric,Num,8,20.1,20.1,Diet pattern:factor score for salad and wine pattern
vit_mulvit_q1,numeric,Num,8,11.,11.,Multivit and single vit use variable
mulvit_perwk,numeric,Num,8,11.,11.,Number of multivit pills per week
vit_perwk,numeric,Num,8,11.,11.,Number of single vit pills per week
mulvit_dur_yrs,numeric,Num,8,11.,11.,Duration in yr category of multivit use
vita_bcar_amt,character,Char,50,$50.00 ,$50.00 ,Amt of vitamin a/beta-c (part of multi-vit)
vita_amt,character,Char,50,$50.00 ,$50.00 ,Amt of vitamin a (mark = yes pill)
bcar_amt,character,Char,50,$50.00 ,$50.00 ,Amt of beta-carotene (mark = yes pill)
vitc_amt,character,Char,50,$50.00 ,$50.00 ,Amt of vitamin c
vite_amt,character,Char,50,$50.00 ,$50.00 ,Amt of vitamin e
selen_amt,character,Char,50,$50.00 ,$50.00 ,Amt of selenium
serv_fats_q1,character,Char,50,$50.00 ,$50.00 ,Use last yr - fat/oil in cooking
serv_vegs_q1,character,Char,50,$50.00 ,$50.00 ,Use last yr - veges
serv_fruit_q1,character,Char,50,$50.00 ,$50.00 ,Use last yr - fruit (whole)
serv_cere_q1,character,Char,50,$50.00 ,$50.00 ,Use last yr - cold cereal
serv_milk_q1,character,Char,50,$50.00 ,$50.00 ,Use last yr - milk
lo_cheese_q1,character,Char,50,$50.00 ,$50.00 ,Lo/nonfat version of cheese
lo_icecrm_q1,character,Char,50,$50.00 ,$50.00 ,Lo/nonfat version of ice cream/yogurt
lo_dressn_q1,character,Char,50,$50.00 ,$50.00 ,Lo/nonfat version of salad dressing
lo_cake_q1,character,Char,50,$50.00 ,$50.00 ,Lo/nonfat version of cake/cookies
addsalt_q1,character,Char,50,$50.00 ,$50.00 ,Salt added to food
chickn_skn_q1,character,Char,50,$50.00 ,$50.00 ,Skin on chicken eaten
meatfat_q1,character,Char,50,$50.00 ,$50.00 ,Fat on meat eaten
meat_charbroil_q1,character,Char,50,$50.00 ,$50.00 ,Meat charbroiled/fried
meat_cooked_q1,character,Char,50,$50.00 ,$50.00 ,Meat cooked
alchl_g_day18_22,numeric,Num,8,20.1,20.1,"Grams per day of alcohol, age 18-22"
alchl_g_day30_35,numeric,Num,8,20.1,20.1,"Grams per day of alcohol, age 30-35"
alchl_g_dayrecen,numeric,Num,8,20.1,20.1,"Grams per day of alcohol, past year"
beer_g_day18_22,numeric,Num,8,20.1,20.1,"Grams per day of beer, age 18-22"
wine_g_day18_22,numeric,Num,8,20.1,20.1,"Grams per day of wine, age 18-22"
liqu_g_day18_22,numeric,Num,8,20.1,20.1,"Grams per day of liquor, age 18-22"
beer_g_day30_35,numeric,Num,8,20.1,20.1,"Grams per day of beer, age 30-35"
wine_g_day30_35,numeric,Num,8,20.1,20.1,"Grams per day of wine, age 30-35"
liqu_g_day30_35,numeric,Num,8,20.1,20.1,"Grams per day of liquor, age 30-35"
beer_g_dayrecen,numeric,Num,8,20.1,20.1,"Grams per day of beer, past year"
wine_g_dayrecen,numeric,Num,8,20.1,20.1,"Grams per day of wine, past year"
liqu_g_dayrecen,numeric,Num,8,20.1,20.1,"Grams per day of liquor, past year"
alchl_analyselig,numeric,Num,8,11.,11.,Eligible for alcohol analysis (restrictive def)
alchl_analyscat,numeric,Num,8,11.,11.,Cat of alcohol g/d past yr for bc analysis
smoke_lifeexpo,numeric,Num,8,20.1,20.1,Lifetime exposure to smoke
smoke_group,numeric,Num,8,11.,11.,Smoking group
life_exposure_smk,numeric,Num,8,11.,11.,"Groups: no exposure, quartiles of lifetime exposure to smoke (LES)"
smoke_statcat,numeric,Num,8,11.,11.,Smoking status categories
smoke_expocat,numeric,Num,8,11.,11.,Smoking exposure categories
passmok_expocat,numeric,Num,8,11.,11.,Passive smoke exposure categories
cig_age1st,numeric,Num,8,11.,11.,Age first smoked
cig_agelast,numeric,Num,8,11.,11.,Age last smoked
smoke_totyrs,numeric,Num,8,20.1,20.1,Total years smoked
smoke_totpackyrs,numeric,Num,8,20.1,20.1,Total pack years of smoking
smoke_yrs_quit,numeric,Num,8,20.1,20.1,Total years since quit smoking
smokeb4preg_yrs,numeric,Num,8,11.,11.,Total years smoked prior pregnancy
smokeafpreg_yrs,numeric,Num,8,11.,11.,Total years smoked post pregnancy
smoke_1stpreg,numeric,Num,8,11.,11.,Smoking in relation to first pregnancy categories
cig_day_avg,numeric,Num,8,20.1,20.1,Avg number of cigarettes smoked per day
shsmok_child,character,Char,50,$50.00 ,$50.00 ,Child exposure
shsmok_adult,character,Char,50,$50.00 ,$50.00 ,Adult exposure
shsmok_child_hm,character,Char,50,$50.00 ,$50.00 ,Child home exposure
shsmok_adult_hm,character,Char,50,$50.00 ,$50.00 ,Adult home exposure
shsmok_child_wrk,character,Char,50,$50.00 ,$50.00 ,Child work exposure
shsmok_adult_wrk,character,Char,50,$50.00 ,$50.00 ,Adult work exposure
shsmok_child_oth,character,Char,50,$50.00 ,$50.00 ,Child other exposure
shsmok_adult_oth,character,Char,50,$50.00 ,$50.00 ,Adult other exposure
shsmok_any,character,Char,50,$50.00 ,$50.00 ,Any exposure
shsmok_any_hm,character,Char,50,$50.00 ,$50.00 ,Any home exposure
shsmok_any_wrk,character,Char,50,$50.00 ,$50.00 ,Any work exposure
shsmok_any_oth,character,Char,50,$50.00 ,$50.00 ,Any other exposure
shsmok_any_yrs,numeric,Num,8,20.1,20.1,Any years ets exposure 0:non- exposed
shsmok_adult_yrs,numeric,Num,8,20.1,20.1,Adult years ets exposure 0:non- exposed
shsmok_child_yrs,numeric,Num,8,20.1,20.1,Child years ets exposure 0:non- exposed
shsmok_any_sev,numeric,Num,8,20.1,20.1,Any severity-years exposure 0:non-exposed
shsmok_adult_sev,numeric,Num,8,20.1,20.1,Adult severity-years exposure 0:non-exposed
shsmok_child_sev,numeric,Num,8,20.1,20.1,Child severity-years exposure 0:non-exposed
shsmok_any_int,numeric,Num,8,20.1,20.1,Any intensity ets exposure (summed) 0:non-exposed
shsmok_adult_int,numeric,Num,8,20.1,20.1,Adult intensity ets exposure (summed) 0:non-exposed
shsmok_child_int,numeric,Num,8,20.1,20.1,Child intensity ets exposure (summed) 0:non-exposed
preg_total_q2,character,Char,50,$50.00 ,$50.00 ,How many times have you been pregnant?
preg_snceq1_no,character,Char,50,$50.00 ,$50.00 ,Pregnancies since last survey-none
preg_snceq1_live,character,Char,50,$50.00 ,$50.00 ,Pregnancies since last survey-live birth
preg_snceq1_miss,character,Char,50,$50.00 ,$50.00 ,Pregnancies since last survey-miscarriage
preg_snceq1_abor,character,Char,50,$50.00 ,$50.00 ,Pregnancies since last survey-induced abortion
preg_snceq1_ecto,character,Char,50,$50.00 ,$50.00 ,Pregnancies since last survey-ectopic preg
preg_snceq1_stil,character,Char,50,$50.00 ,$50.00 ,Pregnancies since last survey-stillbirth
preg_snceq1_curr,character,Char,50,$50.00 ,$50.00 ,Pregnancies since last survey-currently preg
preg_nausea_num,character,Char,50,$50.00 ,$50.00 ,How many pregs have you had nausea/vomiting?
preg_nausea_trt,character,Char,50,$50.00 ,$50.00 ,Have you received treatment for nausea/vomiting?
preg_recen_trt,character,Char,50,$50.00 ,$50.00 ,Did you need treatment for most recent preg?
preeclamp_all,character,Char,50,$50.00 ,$50.00 ,"In all pregs, were you diagnosed w/pre- eclampsia?"
preeclamp_recen,character,Char,50,$50.00 ,$50.00 ,Were you diagnosed for most recent preg?
mammo_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times had mammogram after age 20?
xrayribs_undr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for broken ribs before 20?
xrayribs_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for broken ribs after 20?
xrayback_undr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for chest/back before 20?
xrayback_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for chest/back after 20?
xraychest_undr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for chest (ht/lung) before 20?
xraychest_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for chest (ht/lung) after 20?
xraygi_undr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for upper/lwr gi before 20?
xraygi_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for upper/lwr gi after 20?
xrayspine_undr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for spinal/back before 20?
xrayspine_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for spinal/back after 20?
xraykidny_undr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for kidney/ivp before 20?
xraykidny_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times x-ray for kidney/ivp after 20?
fluorosco_undr20,character,Char,50,$50.00 ,$50.00 ,How many times fluoroscopy before 20?
fluorosco_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times fluoroscopy after 20?
ctscan_undr20,character,Char,50,$50.00 ,$50.00 ,How many times ct scan before 20?
ctscan_ovr20,character,Char,50,$50.00 ,$50.00 ,How many times ct scan after 20?
radiat_th_undr20,character,Char,50,$50.00 ,$50.00 ,Ever received radiation treatment for med probs?
butt_avg_q2,numeric,Num,8,20.1,20.1,Average of bdbutt1 and bdbutt2
waist_avg_q2,numeric,Num,8,20.1,20.1,Average of bdwaist1 and bdwaist2
waisthip_ratio_q2,numeric,Num,8,20.1,20.1,Waist to hip ratio calc as waist/hip
waisthip_elig,character,Char,50,$50.00 ,$50.00 ,Indicator of waist hip eligibility
employ_fultch_q3,character,Char,50,$50.00 ,$50.00 ,Currently full time teaching?
employ_prttch_q3,character,Char,50,$50.00 ,$50.00 ,Currently part time teaching?
employ_fulschl_q3,character,Char,50,$50.00 ,$50.00 ,Currently full time other school job?
employ_prtschl_q3,character,Char,50,$50.00 ,$50.00 ,Currently part time other school job?
employ_fuloth_q3,character,Char,50,$50.00 ,$50.00 ,Currently full time employment not school?
employ_prtoth_q3,character,Char,50,$50.00 ,$50.00 ,Currently part time employment not school?
employ_self_q3,character,Char,50,$50.00 ,$50.00 ,Currently self employed?
employ_retired_q3,character,Char,50,$50.00 ,$50.00 ,Currently retired?
employ_none_q3,character,Char,50,$50.00 ,$50.00 ,Currently unemployed?
employ_homemak_q3,character,Char,50,$50.00 ,$50.00 ,Currently homemaker?
employ_disabl_q3,character,Char,50,$50.00 ,$50.00 ,Currently disabled?
lastjob_yrssnce,character,Char,50,$50.00 ,$50.00 ,Number of years since last worked?
currjob_learning,character,Char,50,$50.00 ,$50.00 ,Learn new things in current job?
currjob_repetitv,character,Char,50,$50.00 ,$50.00 ,Repetitive work in current job?
currjob_creative,character,Char,50,$50.00 ,$50.00 ,Creative in current job?
currjob_decision,character,Char,50,$50.00 ,$50.00 ,Make a lot of decisions in current job?
currjob_highskil,character,Char,50,$50.00 ,$50.00 ,High level of skill in current job?
currjob_lowfree,character,Char,50,$50.00 ,$50.00 ,Little freedom in current job?
currjob_varied,character,Char,50,$50.00 ,$50.00 ,Do a variety of things in current job?
currjob_lotofsay,character,Char,50,$50.00 ,$50.00 ,A lot of say in current job?
currjob_develop,character,Char,50,$50.00 ,$50.00 ,Opportunity to develop in current job?
currjob_workfast,character,Char,50,$50.00 ,$50.00 ,Work fast in current job?
currjob_workhard,character,Char,50,$50.00 ,$50.00 ,Work hard in current job?
currjob_physical,character,Char,50,$50.00 ,$50.00 ,Physical effort in current job?
currjob_notexces,character,Char,50,$50.00 ,$50.00 ,Not excessive work in current job?
currjob_givntime,character,Char,50,$50.00 ,$50.00 ,Enough time in current job?
currjob_secure,character,Char,50,$50.00 ,$50.00 ,Good job security in current job?
currjob_feelsafe,character,Char,50,$50.00 ,$50.00 ,Feel safe in current job?
currjob_noconfli,character,Char,50,$50.00 ,$50.00 ,Free of conflicting demands?
currjob_competnt,character,Char,50,$50.00 ,$50.00 ,Competent people in current job?
currjob_interest,character,Char,50,$50.00 ,$50.00 ,People take an interest in my in job?
currjob_friendly,character,Char,50,$50.00 ,$50.00 ,Friendly people in current job?
currjob_helpful,character,Char,50,$50.00 ,$50.00 ,Helpful people in current job?
currjob_concern,character,Char,50,$50.00 ,$50.00 ,Current supervisor concerned for staff?
currjob_attentiv,character,Char,50,$50.00 ,$50.00 ,Current supervisor pays attention?
currjob_supvhelp,character,Char,50,$50.00 ,$50.00 ,Current supervisor helpful?
currjob_supvppl,character,Char,50,$50.00 ,$50.00 ,Current supervisor gets people together?
jobabsent_times,character,Char,50,$50.00 ,$50.00 ,Times ill from work in last year
soc_relativ_num,character,Char,50,$50.00 ,$50.00 ,Number close relatives
soc_friend_num,character,Char,50,$50.00 ,$50.00 ,Number close friends
soc_see_num,character,Char,50,$50.00 ,$50.00 ,Number social contacts see once a month
soc_talk_num,character,Char,50,$50.00 ,$50.00 ,Number contacts talk to once a month
soc_relig_times,character,Char,50,$50.00 ,$50.00 ,Times participate in religious groups
soc_othgrp_times,character,Char,50,$50.00 ,$50.00 ,Times participate in other groups
househld_num,character,Char,50,$50.00 ,$50.00 ,People in household (excl. self)
househld_kid_num,character,Char,50,$50.00 ,$50.00 ,Children 17 or younger in household
marital_status_q3,character,Char,50,$50.00 ,$50.00 ,Marital status at 3rd questionnaire
care_partner,character,Char,50,$50.00 ,$50.00 ,How much partner care about you?
care_family,character,Char,50,$50.00 ,$50.00 ,How much family care about you?
care_friends,character,Char,50,$50.00 ,$50.00 ,How much friends care about you?
undrstnd_partner,character,Char,50,$50.00 ,$50.00 ,How much partner understand you?
undrstnd_family,character,Char,50,$50.00 ,$50.00 ,How much family understand you?
undrstnd_friends,character,Char,50,$50.00 ,$50.00 ,How much friends understand you?
rely_partner,character,Char,50,$50.00 ,$50.00 ,How much can rely on partner for help?
rely_family,character,Char,50,$50.00 ,$50.00 ,How much can rely on family for help?
rely_friends,character,Char,50,$50.00 ,$50.00 ,How much can rely on friends for help?
open_partner,character,Char,50,$50.00 ,$50.00 ,How much can you open up to partner?
open_family,character,Char,50,$50.00 ,$50.00 ,How much can you open up to family?
open_friends,character,Char,50,$50.00 ,$50.00 ,How much can you open up to friends?
demand_partner,character,Char,50,$50.00 ,$50.00 ,How often partner make demands on you?
demand_family,character,Char,50,$50.00 ,$50.00 ,How often family make demands on you?
demand_friends,character,Char,50,$50.00 ,$50.00 ,How often friends make demands on you?
crit_partner,character,Char,50,$50.00 ,$50.00 ,How often does partner criticize you?
crit_family,character,Char,50,$50.00 ,$50.00 ,How often does family criticize you?
crit_friends,character,Char,50,$50.00 ,$50.00 ,How often do friends criticize you?
letdown_partner,character,Char,50,$50.00 ,$50.00 ,How often does partner let you down?
letdown_family,character,Char,50,$50.00 ,$50.00 ,How often does family let you down?
letdown_friends,character,Char,50,$50.00 ,$50.00 ,How often do friends let you down?
annoy_partner,character,Char,50,$50.00 ,$50.00 ,How often partner get on your nerves?
annoy_family,character,Char,50,$50.00 ,$50.00 ,How often family get on your nerves?
annoy_friends,character,Char,50,$50.00 ,$50.00 ,How often friends get on your nerves?
feel_top,character,Char,50,$50.00 ,$50.00 ,How often feel on top of the world?
feel_unhappy,character,Char,50,$50.00 ,$50.00 ,How often feel very unhappy?
feel_bored,character,Char,50,$50.00 ,$50.00 ,How often do you feel bored?
feel_excited,character,Char,50,$50.00 ,$50.00 ,How often do you feel excited?
feel_hardbeclose,character,Char,50,$50.00 ,$50.00 ,How often feel hard to be close?
feel_restless,character,Char,50,$50.00 ,$50.00 ,How often do you feel restless?
feel_leftout_q3,character,Char,50,$50.00 ,$50.00 ,How often do you feel left out?
feel_upsetcrit,character,Char,50,$50.00 ,$50.00 ,How often feel upset when criticized?
feel_lonely,character,Char,50,$50.00 ,$50.00 ,How often do you feel very lonely?
feel_compliment,character,Char,50,$50.00 ,$50.00 ,How often feel proud when complimented?
feel_keepdistant,character,Char,50,$50.00 ,$50.00 ,How often feel keep people at distance?
feel_goingmyway,character,Char,50,$50.00 ,$50.00 ,How often feel things going my way?
feel_accomplish,character,Char,50,$50.00 ,$50.00 ,How often pleased for accomplishment?
happy,character,Char,50,$50.00 ,$50.00 ,How happy are you these days?
oralcntr_ever_q3,character,Char,50,$50.00 ,$50.00 ,Ever used oral contraceptives?
oralcntr_usebyq3,numeric,Num,8,11.,11.,Q3 oral contraceptives (uses q1)
oralcntr_mo,character,Char,50,$50.00 ,$50.00 ,How many months oral contraceptives?
period_nostop,character,Char,50,$50.00 ,$50.00 ,Reasons menstrual periods haven't stopped
whyperiodstop_q3,character,Char,50,$50.00 ,$50.00 ,Reasons menstrual periods have stopped
period_stopyear,character,Char,50,$50.00 ,$50.00 ,Year period stopped
hormo_meno,character,Char,50,$50.00 ,$50.00 ,Ever used female hormones for menopause?
hormo_mo,character,Char,50,$50.00 ,$50.00 ,How many months used female hormones?
hormo_lastmo,character,Char,50,$50.00 ,$50.00 ,Used female hormones in last month?
htcomb_4yrs_no,character,Char,50,$50.00 ,$50.00 ,Did not use combined hrt past 4 yrs?
htcomb_4yrs_ppro,character,Char,50,$50.00 ,$50.00 ,Used prempro combined hrt past 4 yrs?
htcomb_4yrs_ppha,character,Char,50,$50.00 ,$50.00 ,Used premphase combined hrt past 4 yrs?
htcomb_4yrs_oth,character,Char,50,$50.00 ,$50.00 ,Used other combined hrt past 4 yrs?
estro_last4yrs,character,Char,50,$50.00 ,$50.00 ,Used estrogen past 4 yrs?
prog_last4yrs,character,Char,50,$50.00 ,$50.00 ,Used progesterone past 4 yrs?
estro_days_mo,character,Char,50,$50.00 ,$50.00 ,Number days/month use estrogen hrt
prog_days_mo_q3,character,Char,50,$50.00 ,$50.00 ,Number days/month use progesterone hrt
htcomb_4yrs,numeric,Num,8,11.,11.,Combined hormone therapy frequency past 4 years
asthma_q3,character,Char,50,$50.00 ,$50.00 ,Doctor ever said you have asthma?
asthma_age_q3,character,Char,50,$50.00 ,$50.00 ,Age when doctor diagnosed asthma
asthma_diag_age,character,Char,50,$50.00 ,$50.00 ,Age when doctor diagnosed asthma
asthmasym_not_q3,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms no trouble
asthmasym_mild_q3,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms mild
asthmasym_meds_q3,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms took medication
asthmasym_doc_q3,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms urgent visit to doctor
asthmasym_hosp_q3,character,Char,50,$50.00 ,$50.00 ,Asthma symptoms spent night in hospital
asthmasym_nmild,character,Char,50,$50.00 ,$50.00 ,Current asthma symptoms - excludes mildest
asthmasym_ymild,character,Char,50,$50.00 ,$50.00 ,Current asthma symptoms - includes mildest
asthma_severity,character,Char,50,$50.00 ,$50.00 ,Asthma severity
insulin_daily,character,Char,50,$50.00 ,$50.00 ,Daily insulin for 2mths?
oralhyp_daily,character,Char,50,$50.00 ,$50.00 ,Daily oral hypoglycemic for 2mths?
diuret_daily,character,Char,50,$50.00 ,$50.00 ,Daily thiazide diuretic for 2mths?
lasix_daily,character,Char,50,$50.00 ,$50.00 ,Daily lasix for 2mths?
calciumblck_daily,character,Char,50,$50.00 ,$50.00 ,Daily calcium blocker for 2mths?
aceinhb_daily,character,Char,50,$50.00 ,$50.00 ,Daily ace inhibitor for 2mths?
othhbp_daily,character,Char,50,$50.00 ,$50.00 ,Daily other hi bpr drug for 2mths?
tagam_daily,character,Char,50,$50.00 ,$50.00 ,Daily cimetidine (tagamet) for 2mths?
h2blck_daily,character,Char,50,$50.00 ,$50.00 ,Daily other h2 blocker for 2mths?
tamox_daily,character,Char,50,$50.00 ,$50.00 ,Daily tamoxifen for 2mths?
ralox_daily,character,Char,50,$50.00 ,$50.00 ,Daily raloxifene for 2mths?
steroid_daily,character,Char,50,$50.00 ,$50.00 ,Daily oral steroids for 2mths?
brondil_daily,character,Char,50,$50.00 ,$50.00 ,Daily inhaled bronchodilator for 2mths?
cholmed_daily,character,Char,50,$50.00 ,$50.00 ,Daily cholesterol-lower drug for 2mths?
antidep_daily,character,Char,50,$50.00 ,$50.00 ,Daily antidepressant for 2mths?
lr_handed,character,Char,50,$50.00 ,$50.00 ,Write with left or right hand?
currres_yrs,character,Char,50,$50.00 ,$50.00 ,Years lived at current residence?
calires_yrs,character,Char,50,$50.00 ,$50.00 ,Years lived in total in california?
bdrmppl_6mo,character,Char,50,$50.00 ,$50.00 ,How many people share bedroom at age 6 months?
bdrmppl_age3,character,Char,50,$50.00 ,$50.00 ,How many people share bedroom at age 3?
bdrmppl_age5,character,Char,50,$50.00 ,$50.00 ,How many people share bedroom at age 5?
bdrmppl_age12,character,Char,50,$50.00 ,$50.00 ,How many people share bedroom at age 12?
bdrmppl_age30,character,Char,50,$50.00 ,$50.00 ,How many people share bedroom at age 30?
bdrmppl_now,character,Char,50,$50.00 ,$50.00 ,How many people share bedroom now?
daycare_6mo,character,Char,50,$50.00 ,$50.00 ,Did you go to day care at age 6 months?
daycare_age3,character,Char,50,$50.00 ,$50.00 ,Did you go to day care at age 3?
daycare_age5,character,Char,50,$50.00 ,$50.00 ,Did you go to day care at age 5?
pet_6mo,character,Char,50,$50.00 ,$50.00 ,Did you have a cat or dog at home at age 6 months?
pet_age3,character,Char,50,$50.00 ,$50.00 ,Did you have a cat or dog at home at age 3?
pet_age5,character,Char,50,$50.00 ,$50.00 ,Did you have a cat or dog at home at age 5?
pet_age12,character,Char,50,$50.00 ,$50.00 ,Did you have a cat or dog at home at age 12?
pet_age30,character,Char,50,$50.00 ,$50.00 ,Did you have a cat or dog at home at age 30?
pet_now,character,Char,50,$50.00 ,$50.00 ,Did you have a cat or dog at home now?
hoofanm_6mo,character,Char,50,$50.00 ,$50.00 ,Live 1/2 mile from hoofed animals at age 6 months?
hoofanm_age3,character,Char,50,$50.00 ,$50.00 ,Live 1/2 mile from hoofed animals at age 3?
hoofanm_age5,character,Char,50,$50.00 ,$50.00 ,Live 1/2 mile from hoofed animals at age 5?
hoofanm_age12,character,Char,50,$50.00 ,$50.00 ,Live 1/2 mile from hoofed animals at age 12?
hoofanm_age30,character,Char,50,$50.00 ,$50.00 ,Live 1/2 mile from hoofed animals at age 30?
hoofanm_now,character,Char,50,$50.00 ,$50.00 ,Live 1/2 mile from hoofed animals now?
hmrent_6mo,character,Char,50,$50.00 ,$50.00 ,Lived in rented house/apt at age 6 months?
hmrent_age3,character,Char,50,$50.00 ,$50.00 ,Lived in rented house/apt at age 3?
hmrent_age5,character,Char,50,$50.00 ,$50.00 ,Lived in rented house/apt at age 5?
hmrent_age12,character,Char,50,$50.00 ,$50.00 ,Lived in rented house/apt at age 12?
hmrent_age30,character,Char,50,$50.00 ,$50.00 ,Lived in rented house/apt at age 30?
hmrent_now,character,Char,50,$50.00 ,$50.00 ,Live in rented house/apt now?
ruralurb_6mo,character,Char,50,$50.00 ,$50.00 ,Lived in rural/urban area at age 6 months?
ruralurb_age3,character,Char,50,$50.00 ,$50.00 ,Lived in rural/urban area at age 3?
ruralurb_age5,character,Char,50,$50.00 ,$50.00 ,Lived in rural/urban area at age 5?
ruralurb_age12,character,Char,50,$50.00 ,$50.00 ,Lived in rural/urban area at age 12?
ruralurb_age30,character,Char,50,$50.00 ,$50.00 ,Lived in rural/urban area at age 30?
ruralurb_now,character,Char,50,$50.00 ,$50.00 ,Live in rural/urban area now?
bbaspr_perwk_q4,character,Char,50,$50.00 ,$50.00 ,Num baby aspirin per week regularly?
aspr_perwk_q4,character,Char,50,$50.00 ,$50.00 ,Num aspirin per week regularly?
ibupf_perwk_q4,character,Char,50,$50.00 ,$50.00 ,Num ibuprofen per week regularly?
nsaid_perwk_q4,character,Char,50,$50.00 ,$50.00 ,Num other nsaid per week regularly?
